gameId,week,homeTeamAbbr,homeFinalScore,visitorTeamAbbr,visitorFinalScore,Home_winner,tie,Winner,Loser
2022102309,7,LAC,23,SEA,37,False,,SEA,SEA
2022102310,7,SF,23,KC,44,False,,KC,KC
2022102311,7,MIA,16,PIT,10,True,,PIT,PIT
2022102400,7,NE,14,CHI,33,False,,CHI,CHI
2022102700,8,TB,22,BAL,27,False,,BAL,BAL
2022103000,8,JAX,17,DEN,21,False,,DEN,DEN
2022103001,8,ATL,37,CAR,34,True,,CAR,CAR
2022103002,8,DAL,49,CHI,29,True,,CHI,CHI
2022103003,8,DET,27,MIA,31,False,,MIA,MIA
2022103005,8,MIN,34,ARI,26,True,,ARI,ARI
2022103006,8,NO,24,LV,0,True,,LV,LV
2022103007,8,NYJ,17,NE,22,False,,NE,NE
2022103008,8,PHI,35,PIT,13,True,,PIT,PIT
2022103004,8,HOU,10,TEN,17,False,,TEN,TEN
2022103009,8,IND,16,WAS,17,False,,WAS,WAS
2022103010,8,LA,14,SF,31,False,,SF,SF
2022103011,8,SEA,27,NYG,13,True,,NYG,NYG
2022103012,8,BUF,27,GB,17,True,,GB,GB
2022103100,8,CLE,32,CIN,13,True,,CIN,CIN
2022110300,9,HOU,17,PHI,29,False,,PHI,PHI
2022110600,9,ATL,17,LAC,20,False,,LAC,LAC
2022110601,9,CHI,32,MIA,35,False,,MIA,MIA
2022110602,9,CIN,42,CAR,21,True,,CAR,CAR
2022110603,9,DET,15,GB,9,True,,GB,GB
2022110604,9,JAX,27,LV,20,True,,LV,LV
2022110605,9,NE,26,IND,3,True,,IND,IND
2022110606,9,NYJ,20,BUF,17,True,,BUF,BUF
2022110607,9,WAS,17,MIN,20,False,,MIN,MIN
2022110608,9,ARI,21,SEA,31,False,,SEA,SEA
2022110609,9,TB,16,LA,13,True,,LA,LA
2022110610,9,KC,20,TEN,17,True,,TEN,TEN
2022110700,9,NO,13,BAL,27,False,,BAL,BAL
